Time,True time, Gyro X, Gyro Y, Gyro Z, Accel X, Accel Y, Accel Z, Pressure,delta t
seconds,seconds, deg/s, deg/s, deg/s, m/s^2, m/s^2, m/s^2, PSI,seconds
4.717,4.717,-18.4,-4.5,-10.5,0.95,-8.67,1.56,99209,
4.827,4.827,-15.5,-5.3,-4,1,-9.82,1.33,99209,0.11
4.881,4.881,-10.4,-4.8,-4.2,1.03,-9.88,1.31,99211,0.054
4.936,4.936,-9,-4.2,-6.7,1.17,-9.97,1.23,99208,0.055
4.99,4.99,0.5,-3.7,-7.9,1.22,-9.13,1.13,99211,0.054
5.044,5.044,-3.8,-6.3,-4.9,1.16,-9.79,1.13,99206,0.054
5.099,5.099,4,-4.1,-10.1,1.21,-9.87,0.94,99211,0.055
5.153,5.153,-1.5,-5.4,-7.7,1.47,-9.28,1.26,99208,0.054
5.207,5.207,-0.8,-8.3,-5.2,1.43,-9.42,1.14,99207,0.054
5.261,5.261,-0.9,-9.3,0.8,1.56,-9.58,1.48,99205,0.054
5.316,5.316,-10,-19.3,4.2,1.5,-9.77,1.25,99210,0.055
5.37,5.37,8.8,-25.7,9.3,1.48,-9.33,1.33,99212,0.054
5.424,5.424,19.1,-25.6,16.6,1.33,-8.47,1.98,99210,0.054
5.479,5.479,20.1,-27.2,55.2,0.7,-9.04,1.51,99209,0.055
5.533,5.533,62.9,-26.5,60.3,-0.21,-10.78,2.09,99210,0.054
5.587,5.587,68.8,-8.2,71.6,0.21,-8.69,2.99,99208,0.054
5.642,5.642,77.7,-33.7,36,-1.26,-11.75,3.92,99209,0.055
5.696,5.696,26.3,-9.6,10.5,-0.28,-8.95,4.52,99209,0.054
5.75,5.75,5.6,-12,-2.7,-0.32,-8.89,4.2,99211,0.054
5.805,5.805,2,-12.9,0.8,-0.36,-8.57,3.88,99209,0.055
5.859,5.859,3,11.7,7,-0.82,-8.75,2.75,99210,0.054
5.913,5.913,-34.2,45.5,31.9,-0.5,-8.45,4.68,99209,0.054
5.967,5.967,-51.3,29.3,51.2,-0.81,-7.23,4.05,99212,0.054
6.025,6.025,28.3,24.5,20.9,-2.17,-9.63,3.66,99208,0.058
6.079,6.079,-19.8,17.5,36.2,-2.24,-7.75,3.54,99211,0.054
6.133,6.133,24.6,8.8,56.6,-3.12,-10.69,5,99211,0.054
6.187,6.187,15.2,-7.1,36.9,-3.1,-7.49,4.36,99211,0.054
6.241,6.241,37.5,-19,62.8,-3.34,-9.15,4.13,99215,0.054
6.295,6.295,9.7,-26.9,31.4,-3.6,-7.5,4.7,99208,0.054
6.349,6.349,27.2,-34.5,32.2,-3.93,-8.23,4.1,99213,0.054
6.404,6.404,-2,-19.8,27.6,-3.54,-7.69,5.88,99209,0.055
6.458,6.458,4.9,-21.4,16.7,-3.33,-6.88,5.33,99214,0.054
6.512,6.512,4.2,-31.5,15.7,-3.99,-6.45,5.2,99210,0.054
6.566,6.566,-7.2,-18.3,38.1,-3.9,-7.21,5.44,99208,0.054
6.62,6.62,-57.1,-13.7,19.7,-3.32,-6.34,6.65,99207,0.054
6.674,6.674,-110.3,-12.4,-0.9,-2.99,-5.62,4.04,99209,0.054
6.728,6.728,-174.6,-23.4,-17.4,-2.91,-6.11,3.82,99213,0.054
6.782,6.782,-21.9,-0.4,-68.7,-4.46,-11.24,2.35,99211,0.054
6.836,6.836,-123.6,-23.7,-89.3,-3.15,-9.44,1.68,99211,0.054
6.89,6.89,10.4,44.5,-202.7,1.48,-12.3,3.04,99214,0.054
6.944,6.944,-3,-232,-235.2,1.64,-8.69,-0.51,99209,0.054
6.998,6.998,-47.7,-80.9,-29.5,2.09,-10.15,1.37,99210,0.054
7.052,7.052,-60.9,-47.1,-49.2,2.5,-8.97,1.36,99214,0.054
7.106,7.106,-12.8,3.4,-48.7,3.39,-9.41,0.98,99214,0.054
7.161,7.161,-54.8,-6.8,-20.4,3.63,-9.82,1.29,99211,0.055
7.215,7.215,12.4,18.5,-17.8,4,-8.92,0.52,99209,0.054
7.272,7.272,11.4,2.5,-0.2,3.8,-9.53,0.86,99212,0.057
7.326,7.326,4.8,4,1.1,3.79,-9.27,1.03,99214,0.054
7.431,7.431,-8.2,5.8,-2.4,3.81,-9.42,0.88,99214,0.105
7.485,7.485,-9.1,8.4,-6.2,3.85,-9.22,1.07,99212,0.054
7.539,7.539,-12.2,7,-7.4,3.66,-8.92,1.1,99213,0.054
7.593,7.593,1.9,20.4,-19.9,3.91,-8.73,1.44,99211,0.054
7.648,7.648,-3.7,4,-8.4,3.93,-8.87,1.28,99212,0.055
7.702,7.702,5.9,12,-14.4,4.06,-8.79,1.33,99211,0.054
7.756,7.756,8.6,9.1,-7.1,4,-8.84,1.56,99212,0.054
7.81,7.81,3.2,7.5,-6.8,4.09,-8.7,1.56,99213,0.054
7.865,7.865,2.2,6.4,-2.3,4.15,-8.77,1.77,99212,0.055
7.919,7.919,7.1,8,-6.9,4.11,-8.6,1.65,99213,0.054
7.973,7.973,1.9,6.7,-3.5,4.25,-8.52,1.93,99213,0.054
8.028,8.028,-3.5,1.1,0.6,4.33,-8.56,1.98,99215,0.055
8.082,8.082,-6.7,-1.2,1.4,4.22,-8.67,1.84,99213,0.054
8.136,8.136,-6.7,-1.5,2.9,4.3,-8.78,1.81,99212,0.054
8.24,8.24,-7,-1.9,1.8,4.15,-8.7,1.84,99216,0.104
8.295,8.295,-13.4,-5.4,5.5,4.11,-8.77,1.92,99215,0.055
8.349,8.349,-12.3,-0.6,3.8,4.1,-8.88,1.56,99213,0.054
8.403,8.403,-13.9,-3.2,4.4,4.15,-8.7,1.74,99213,0.054
8.457,8.457,-8.9,-1.2,1.4,4,-8.72,1.47,99212,0.054
8.512,8.512,-12.6,-2.8,6.3,4.01,-8.74,1.48,99213,0.055
8.566,8.566,-11.3,-4.7,6.7,3.87,-8.8,1.26,99213,0.054
